Player,Original_Position,AI_Top_Positions,Adaptability_Score
L. Casanova,CB,"CB, CDM, CAM, CF, CM",1
Yu Ji Hoon,LB,"LB, RB, CB, CDM, CM",1
João Rodrigues,ST,"ST, LM, CAM, LW, RM",1
D. Watari,ST,"ST, RM, CAM, CF, LM",1
Carlos Miguel,GK,"GK, CB, CAM, CDM, CF",1
W. Janssens,ST,"ST, RM, CF, LM, RW",1
M. Akan,LB,"LB, RB, CB, RM, CDM",1
C. Senior,RM,"RM, LM, LW, RW, CAM",1
A. Al Owayshir,GK,"GK, CB, CAM, CDM, CF",1
A. Soumaoro,CDM,"CDM, CB, CM, LB, CAM",1
O. Shodipo,LM,"LM, RM, CAM, LW, RW",1
A. Al Khaibari,CB,"CB, CDM, LB, CAM, CF",1
M. D'Arpino,CM,"CM, LB, LM, RM, RWB",1
L. Carillo,CB,"CB, CAM, CDM, CF, CM",1
A. Mandrea,GK,"GK, CB, CAM, CDM, CF",1
N. Flø,GK,"GK, CB, CAM, CDM, CF",1
M. Ziereis,ST,"ST, CB, CAM, CF, CM",1
L. John-Lewis,ST,"ST, RM, CAM, RB, LM",1
F. Weber,CB,"CB, CDM, CAM, CF, CM",1
R. Chávez,RB,"RB, LB, CM, CDM, CB",1
F. Crisanto,RB,"RB, LB, CM, RM, LW",1
M. Nazarit,CB,"CB, CAM, CDM, CF, CM",1
Miquel Parera,GK,"GK, CB, CAM, CDM, CF",1
PC,LB,"LB, RB, CDM, CM, CB",1
C. Howieson,CM,"CM, CAM, LB, RM, ST",1
J. Fabri,GK,"GK, CB, CAM, CDM, CF",1
G. Sawyer,LB,"LB, CB, RB, CDM, CAM",1
Jauregi,ST,"ST, CB, CAM, CF, CM",1
E. Cömert,CB,"CB, LB, CAM, CDM, CF",1
D. Zibung,GK,"GK, CB, CAM, CDM, CF",1
Y. De Winter,GK,"GK, CB, CAM, CDM, CF",1
R. Cardozo,GK,"GK, CB, CAM, CDM, CF",1
Ricardo Almeida,ST,"ST, CB, CAM, CF, CM",1
P. Zebli,CDM,"CDM, LB, RB, CM, CB",1
M. Maletić,ST,"ST, LW, CAM, LM, RM",1
C. Diop,GK,"GK, CB, CAM, CDM, CF",1
S. Brisley,CB,"CB, CAM, CDM, CF, CM",1
N. McGinley,CB,"CB, RB, CDM, LB, CAM",1
M. Bringaker,ST,"ST, LM, CAM, LW, RM",1
K. Krolicki,CM,"CM, LB, CDM, RB, CAM",1
S. Wright,LM,"LM, RM, LW, RW, CAM",1
J. Coleman,GK,"GK, CB, CAM, CDM, CF",1
J. Arak,ST,"ST, CM, RM, CDM, LM",1
Pepe Castaño,CB,"CB, CM, CDM, LB, RB",1
Guilherme Oliveira,GK,"GK, CB, CAM, CDM, CF",1
W. Bianda,CB,"CB, CAM, CDM, CF, CM",1
L. Mena,LWB,"LWB, LB, RB, RM, LM",1
J. Bonham,GK,"GK, CB, CAM, CDM, CF",1
I. Huguenet,ST,"ST, CM, CAM, RM, LW",1
S. Yajima,CM,"CM, CAM, RM, LM, RW",1
Pedro Mateus,GK,"GK, CB, CAM, CDM, CF",1
Shin Chang Moo,CM,"CM, CAM, LM, RM, RW",1
Pistu,CB,"CB, CAM, CDM, CF, CM",1
J. Angulo,LM,"CM, LB, CAM, RM, LM",0
J. Baird,CB,"CB, CAM, CDM, CF, CM",1
W. de la Rosa,ST,"ST, RM, CM, LM, CF",1
S. Amro,LB,"LB, RB, CDM, CM, CB",1
R. Idda,CB,"CB, RB, CAM, CF, CM",1
E. Saavedra,RB,"RB, LB, CB, LM, ST",1
C. Goode,CB,"CB, CAM, CDM, CF, CM",1
M. Haakenstad,RB,"RB, LB, CM, CB, CDM",0
M. Byrne,CM,"CM, LB, CDM, RB, CB",1
J. Aylagas,GK,"GK, CB, CAM, CDM, CF",1
U. Yuvakuran,GK,"GK, CB, CAM, CDM, CF",1
T. Gomelt,CM,"CM, ST, CAM, RM, LM",1
T. Okubo,GK,"GK, CB, CAM, CDM, CF",1
T. Mahrer,CB,"CB, CAM, CDM, CF, CM",1
J. Quiroga,LB,"LB, CB, CDM, CM, RB",0
J. van der Werff,CB,"CB, LB, RB, CDM, CF",1
A. Askar,RB,"RB, CM, RM, LB, CDM",1
Lee Jae Myung,LB,"LB, RB, CM, LM, CB",1
André Luis Neitzke,CB,"CB, CAM, CDM, CF, CM",1
R. Haynes,LB,"LB, RB, CM, CDM, CB",1
E. Abouchabaka,CAM,"CAM, RM, LW, CM, ST",1
M. Tumminello,ST,"ST, LB, CAM, LW, RM",1
Y. Benrahou,CAM,"CAM, CM, RM, LM, LW",0
I. Diallo,CB,"CB, RB, LB, CDM, CM",0
S. Eismann,CDM,"CB, CDM, LB, CAM, CF",1
G. Warren,CB,"CB, CAM, CDM, CF, CM",1
K. Ono,CB,"CB, LB, CDM, RB, CAM",1
D. Telford,ST,"ST, RM, RW, CDM, CAM",1
A. Eastham,CB,"CB, CAM, CDM, CF, CM",1
P. Sabbag,ST,"ST, RW, CF, CDM, CM",1
I. Louati,ST,"ST, LW, CF, CDM, CM",1
W. Suwayyid,LB,"LB, CM, RB, CDM, CB",1
C. Melivilú,ST,"ST, CM, CAM, RM, LM",1
Fornos,CB,"CB, CDM, RB, LB, CAM",1
K. Guthrie,ST,"ST, CM, CAM, LM, RB",1
F. Eguelfi,LM,"LB, RB, CM, CDM, CB",0
D. Konstantopoulos,GK,"GK, CB, CAM, CDM, CF",1
C. Bramall,LB,"RB, LB, CM, LM, CDM",0
Y. Diouf,GK,"GK, CB, CAM, CDM, CF",1
Kim Jin Hyuk,CB,"CB, CM, RB, CDM, CF",1
A. Chapman,GK,"GK, CB, CAM, CDM, CF",1
J. Sudić,CB,"CB, CAM, CDM, CF, CM",1
D. Jones,LB,"LB, RB, CM, CB, CDM",1
P. Grazziani,GK,"GK, CB, CAM, CDM, CF",1
A. Andersson,GK,"GK, CB, CAM, CDM, CF",1
L. Sætra,CB,"CB, CAM, CDM, CF, CM",1
J. Strauß,RWB,"RWB, CM, LB, CDM, RB",1
L. Osaki,CB,"CB, CDM, CM, CAM, CF",1
V. De Marco,CB,"CB, CDM, LB, RB, CM",1
J. Castillo,GK,"GK, CB, CAM, CDM, CF",1
M. Bähre,CAM,"LM, RM, LW, RW, CAM",0
T. Konrad,CB,"CB, CAM, CDM, CF, CM",1
O. Storflor,RW,"RW, LM, RM, ST, CAM",1
J. Gerlach,CB,"CB, CAM, CDM, CF, CM",1
Adrià Pedrosa,LB,"LB, CM, RB, RW, CDM",1
C. Zamudio,ST,"ST, RM, LM, CAM, LW",1
Jaime,CB,"CB, CDM, RB, LB, CAM",1
D. Cleary,CB,"CB, CDM, CAM, CF, CM",1
E. Gertmonas,GK,"GK, CB, CAM, CDM, CF",1
S. Müller,GK,"GK, CB, CAM, CDM, CF",1
S. Ring,LB,"LB, RB, CM, CDM, LM",1
J. Pigott,ST,"ST, CAM, RM, CF, CM",1
M. Collao,CAM,"CAM, CM, LM, RM, LW",1
S. Furtado,RB,"RB, LB, LWB, CM, CDM",1
M. Komenda,CB,"CB, LB, RB, RM, CF",1
F. Ladapo,ST,"ST, CB, CAM, CF, CM",1
D. Zamora,CB,"CB, LB, CDM, RB, CAM",1
M. Maroši,GK,"GK, CB, CAM, CDM, CF",1
Kim Da Sol,GK,"GK, CB, CAM, CDM, CF",1
F. Kanoute,CM,"CM, CB, CDM, LB, RB",1
R. Schmid,CAM,"CAM, LM, RM, LW, CF",1
S. Nelson,CB,"CB, RB, CAM, CF, CM",1
J. Muñoz,GK,"GK, CB, CAM, CDM, CF",1
S. Gölles,RB,"RB, LB, CB, CDM, CM",1
Yoo Hyun,GK,"GK, CB, CAM, CDM, CF",1
O. Ndiaye,CAM,"CAM, CM, LM, RM, RW",1
F. Plach,GK,"GK, CB, CAM, CDM, CF",1
L. Soares,LB,"LB, RB, CM, CDM, CB",0
Gao Di,ST,"ST, CM, RM, CDM, LM",1
Roger Figueras,RB,"RB, CDM, LB, CM, CB",1
Y. Nogami,CB,"CB, CDM, CM, LB, RB",1
J. Gorenc Stanković,CB,"CB, CDM, CM, LB, LM",1
A. Gryszkiewicz,LB,"LB, RB, CB, CDM, CAM",1
E. Calvillo,CM,"CM, RB, CDM, CB, LB",1
Ruan Teles,RM,"RM, LM, CAM, ST, RW",1
J. Hanson,ST,"ST, CB, CAM, CF, CM",1
C. Højer Nielsen,LB,"LB, RB, CB, RM, CM",1
R. González,CB,"CB, CDM, CAM, CF, CM",1
P. Engblom,ST,"ST, LW, RM, CF, CAM",1
W. Parra,CDM,"CDM, LB, CB, CM, RB",1
J. Mareš,ST,"ST, RM, CM, LM, RW",1
A. Georgen,RB,"RB, LB, CM, LWB, CB",1
O. Abdeldjelil,ST,"ST, CB, CAM, CF, CM",1
M. Kiprit,ST,"ST, CB, CAM, CF, CM",1
L. Angol,ST,"ST, LM, CAM, RM, CF",1
S. Suganuma,CB,"CB, CAM, CDM, CF, CM",1
V. Hammershøj-Mistrati,CM,"CM, CDM, CAM, RM, LM",1
Sergio Buenacasa,ST,"ST, CB, CAM, CF, CM",1
Valdu Té,ST,"ST, CB, CAM, CF, CM",1
B. Niasse,GK,"GK, CB, CAM, CDM, CF",1
E. Ersu,GK,"GK, CB, CAM, CDM, CF",1
D. Léon,GK,"GK, CB, CAM, CDM, CF",1
D. Hancko,LB,"LB, CB, RB, CDM, CM",0
M. Tørnes,GK,"GK, CB, CAM, CDM, CF",1
D. Hładun,GK,"GK, CB, CAM, CDM, CF",1
M. Bloomfield,CM,"CM, CDM, RB, LB, CB",1
S. Bauer,CB,"CB, CAM, CDM, CF, CM",1
D. Iversen,GK,"GK, CB, CAM, CDM, CF",1
T. Chorý,ST,"ST, CF, CB, CDM, CM",1
Chi Wenyi,GK,"GK, CB, CAM, CDM, CF",1
E. Binaku,LWB,"LWB, RB, CDM, LB, CM",1
M. Peškovič,GK,"GK, CB, CAM, CDM, CF",1
A. Riel,ST,"ST, RW, RM, LM, CAM",1
A. Fallatah,CB,"CB, CM, CAM, CDM, CF",1
P. Slišković,ST,"ST, LM, CAM, RW, RM",1
W. Ditta,CB,"CB, LB, CAM, CDM, CF",1
L. Legge,CB,"CB, CDM, RB, LB, CAM",1
J. Flores,LW,"ST, RM, LM, LW, CAM",0
Elton Monteiro,CB,"CB, CDM, LB, RB, CAM",1
B. Purrington,LB,"RB, LB, CDM, CM, CB",0
S. Gassama,ST,"ST, CF, CB, CDM, CM",1
Kenny Rocha Santos,RM,"RM, CAM, CM, LM, ST",1
I. Vujica,LB,"LB, RB, CB, CDM, CF",1
I. Pomazun,GK,"GK, CB, CAM, CDM, CF",1
H. Boateng,CM,"CM, CDM, CB, LB, LM",1
I. Gelios,GK,"GK, CB, CAM, CDM, CF",1
N. Pantaleone,LB,"LB, RB, CM, CDM, CB",1
A. Affane,CM,"CM, LB, RM, CAM, RB",1
M. Sagnan,CB,"CB, CAM, CDM, CF, CM",1
C. Dobnik,GK,"GK, CB, CAM, CDM, CF",1
N. Nartey,CM,"CM, CAM, CDM, RB, RM",1
J. Escobar,GK,"GK, CB, CAM, CDM, CF",1
M. Lüftner,CB,"CB, CAM, CDM, CF, CM",1
T. Ünlü,RB,"RB, CB, LB, CM, CDM",1
M. Van Damme,GK,"GK, CB, CAM, CDM, CF",1
J. Parker,ST,"ST, RM, LM, LW, RW",0
J. Monroy,RB,"RB, LB, CB, CM, CDM",1
Q. Braat,GK,"GK, CB, CAM, CDM, CF",1
Julen López,CB,"CB, CAM, CDM, CF, CM",1
L. Campana,ST,"ST, CF, CB, CDM, CM",1
M. Hvilsom,ST,"ST, LM, CAM, CDM, LW",1
J. Mucha,GK,"GK, CB, CAM, CDM, CF",1
P. Green,CM,"CM, LB, RB, CDM, CAM",1
M. Zimmer,CAM,"CAM, LM, CM, RM, LW",1
J. Mosquera,CB,"CB, RB, CAM, CF, CM",1
U. Korun,CB,"CB, CAM, CDM, CF, CM",1
R. Sánchez,GK,"GK, CB, CAM, CDM, CF",1
B. Roche,GK,"GK, CB, CAM, CDM, CF",1
Unai Vencedor,CM,"CM, CAM, RM, LM, RWB",1
T. Eriksson,RM,"RM, CM, LM, CAM, LW",1
C. Pain,LM,"ST, RM, LW, LM, CAM",0
Wu Yan,GK,"GK, CB, CAM, CDM, CF",1
P. Mráz,LB,"LB, CM, RB, CDM, CB",1
M. Perdijić,GK,"GK, CB, CAM, CDM, CF",1
S. Ito,ST,"ST, LW, RM, LM, LB",1
J. Matuwila,CB,"CB, CDM, LB, CAM, CF",1
D. Djulbic,CB,"CB, CAM, CDM, CF, CM",1
H. Silveira,ST,"ST, CB, CAM, CF, CM",1
C. Kouan,CM,"CM, LB, CDM, RB, CB",1
Yang Xiaotian,LB,"LB, CM, RB, CDM, CB",1
L. Schlüter,LB,"LB, RB, CB, CM, CDM",1
Carlos Travisso,GK,"GK, CB, LM, CDM, CF",1
Neto,GK,"GK, CB, CAM, CDM, CF",1
J. Day,GK,"GK, CB, CAM, CDM, CF",1
S. Hatanaka,CB,"CB, CAM, CDM, CF, CM",1
Carlos Gracia,CB,"CB, CDM, RB, LB, CM",0
G. Lillard,CB,"CB, CAM, CDM, CF, CM",1
N. Canavan,CB,"CB, GK, CDM, CAM, CF",1
J. Willock,CM,"CM, CDM, RB, RM, LB",1
Sander Asevedo,GK,"GK, CB, CAM, CDM, CF",1
H. Hallberg,CM,"CM, RM, CAM, LM, ST",1
D. Gallagher,CB,"CB, CAM, CDM, CF, CM",1
K. Nagato,LM,"LM, LB, RB, CM, CB",1
J. Hammar,CB,"CB, CAM, CDM, CF, CM",1
L. Kruspzky,LB,"LB, RB, CDM, CM, CB",1
J. Kramer,CB,"CB, CDM, CAM, CF, CM",1
Murilo Mendes,ST,"ST, RM, CAM, CF, CM",1
D. Da Costa,GK,"GK, CB, CAM, CDM, CF",1
Nuno Macedo,GK,"GK, CB, CAM, CDM, CF",1
P. Malarczyk,CB,"CB, LB, CM, RB, CDM",1
M. Fujita,RB,"RB, LB, CM, CDM, LM",1
Álex Domínguez,GK,"GK, CB, CAM, CDM, CF",1
N. Zanellato,CM,"CM, LB, CDM, RB, CAM",1
Dani Cárdenas,GK,"GK, CB, CAM, CDM, CF",1
G. Mutombo,CB,"CB, CAM, CDM, CF, CM",1
A. Hoole,RM,"RM, LM, CM, CDM, CAM",1
K. Seki,GK,"GK, CB, CAM, CDM, CF",1
D. Melnjak,LB,"LB, RB, CDM, CM, CB",1
Rulo,LB,"LB, RB, CB, CM, CAM",1
L. Crosta,GK,"GK, CB, CAM, CDM, CF",1
A. Langlitz,RB,"RB, CB, LB, CDM, CAM",1
V. Tranberg,CB,"CB, CAM, CDM, CF, CM",1
S. Monaco,CB,"CB, LB, CM, CDM, CAM",1
J. Murillo,LB,"LB, RB, CM, CDM, CB",1
H. Bwana,LM,"LM, RM, CAM, LW, ST",1
P. Bajza,GK,"GK, CB, CAM, CDM, CF",1
S. Odey,ST,"ST, RM, LM, CF, CAM",1
B. Gartland,CB,"CB, CAM, CDM, CF, CM",1
A. Özer,GK,"GK, CB, CAM, CDM, CF",1
A. Foosnæs,LB,"LB, RB, CDM, CB, CM",1
Kikas,ST,"ST, LW, RM, LM, CAM",1
F. Coniglio,ST,"ST, LM, RM, CF, CAM",1
J. Basulto,CB,"CB, CDM, CAM, CF, CM",1
D. Oberhauser,GK,"GK, CB, CAM, CDM, CF",1
B. Hansen,CB,"CB, CAM, CDM, CF, CM",1
A. Jakubech,GK,"GK, CB, CAM, CDM, CF",1
S. Rafn,LB,"LB, CM, RB, LM, RM",1
A. Crofts,CM,"CM, CDM, CB, LB, RB",1
L. Zima,GK,"GK, CB, CAM, CDM, CF",1
Kang Ji Hoon,RB,"RB, LM, CDM, LB, CM",1
S. Cummings,RB,"RB, LB, CM, ST, CDM",1
S. Rhein,CDM,"CDM, CM, LB, RB, CB",1
M. Savković,LM,"RM, LM, CAM, LW, ST",0
Diogo Silva,GK,"GK, CB, CAM, CDM, CF",1
T. Oude Kotte,CB,"CB, CDM, CM, CAM, CF",1
G. Ávalos,ST,"ST, RM, CAM, CF, CM",1
F. Helstrup,CB,"CB, RB, CAM, CF, CM",1
M. Howard,GK,"GK, CB, CAM, CDM, CF",1
A. Castro-Montes,RB,"RB, LB, CM, CDM, CB",1
Ricardo Schutte,ST,"ST, CB, CAM, CF, CM",1
D. Guidi,CB,"CB, LB, CDM, RB, CM",1
J. Candía,CB,"CB, RB, CAM, CF, CM",1
C. Pérez,CB,"CB, CDM, CM, RB, CAM",1
T. Eastman,CB,"CB, CDM, CM, LB, RB",1
Song Bum Keun,GK,"GK, CB, CAM, CDM, CF",1
A. Legzdins,GK,"GK, CB, CAM, CDM, CF",1
V. Sanogo,ST,"ST, CF, CB, CDM, CM",1
J. Forte,ST,"ST, RM, CAM, LW, LM",1
D. Londoño,LB,"LB, CB, RB, CDM, CM",1
O. Lancashire,CB,"CB, CAM, CDM, CF, CM",1
N. Rnić,CB,"CB, CDM, LB, RB, CM",1
C. Patterson-Sewell,GK,"GK, CB, CAM, CDM, CF",1
D. Yearwood,CM,"CM, LB, CDM, RWB, CB",1
M. Sans,CB,"CB, CDM, CAM, CF, CM",1
F. Downes,CM,"CM, LB, RB, CDM, CB",1
J. Riquett,CB,"CB, CAM, CDM, CF, CM",1
M. Boman,ST,"ST, LM, CAM, CF, CM",1
A. Uribe,ST,"ST, CF, CB, CDM, CM",1
L. Riveros,ST,"ST, CAM, RM, LW, LM",1
B. Kamau,RM,"RM, LM, RW, LW, CAM",1
T. Kortegaard,LB,"LB, CM, RB, CB, CDM",1
R. Williams,ST,"ST, LM, CAM, CF, CM",1
Moi Delgado,LB,"LB, RB, CDM, LM, CF",1
N. Pierini,LW,"LW, CAM, ST, LM, RM",1
B. Magaña,GK,"GK, CB, CAM, CDM, CF",1
Hwang Soon Min,CM,"CM, LM, CAM, RM, ST",1
D. Eckert,ST,"ST, CB, CAM, CF, CM",1
C. Pym,GK,"GK, CB, CAM, CDM, CF",1
O. Abildgaard,CM,"CM, CB, CDM, RB, ST",0
J. Bolton,RB,"RB, LB, CB, CDM, CM",1
R. Müller,CB,"CB, CDM, RB, LB, CAM",1
Adri Castellano,LB,"LB, RB, CDM, CB, CM",1
L. Andrenacci,GK,"GK, CB, CAM, CDM, CF",1
R. König,ST,"ST, CB, CAM, CF, CM",1
J. Thomasen,CM,"CM, CDM, LB, RB, ST",1
Cho Dong Gun,ST,"ST, LW, RM, LM, CAM",1
Tong Le,CM,"CM, RB, LB, RM, RW",1
D. Undav,ST,"ST, RM, CM, RW, LM",1
M. Palionis,CB,"CB, CAM, CDM, CF, CM",1
M. Marcjanik,CB,"CB, CDM, LB, CAM, CF",1
S. Henriksen,CB,"CB, CDM, CM, RB, CAM",1
H. Amin,LB,"LB, RB, CDM, RM, CM",1
S. Lorenz,CB,"CB, LB, CDM, CM, CAM",1
J. Varela,CB,"CB, CAM, CDM, CF, CM",1
B. Jacobsen,CM,"CM, CDM, CB, LB, RB",0
H. Onaga,LM,"LM, CAM, RM, RW, LW",1
Álex Craninx,GK,"GK, CM, CAM, CDM, CB",1
A. Muric,GK,"GK, CB, CAM, CDM, CF",1
N. Castrillón,RB,"RB, LB, CB, CDM, CAM",1
Kim Dong Woo,CB,"CB, CDM, CAM, CF, CM",1
K. Debaty,GK,"GK, CB, CAM, CDM, CF",1
Jin YangYang,CB,"CB, CAM, CDM, CF, CM",1
B. Karamoko,CB,"CB, CAM, CDM, CF, CM",1
O. Kocuk,GK,"GK, CB, CAM, CDM, CF",1
A. Cadavid,GK,"GK, CB, CAM, CDM, CF",1
J. Davidson,LB,"LB, RB, CM, CDM, CB",1
L. Ferroni,LB,"LB, RB, CB, CDM, CF",1
Diga,RB,"RB, LB, CB, CDM, CM",1
L. Kinsella,CM,"CM, LB, CDM, RB, CB",1
E. Mastrolía,GK,"GK, CB, CAM, CDM, CF",1
M. Crooks,CM,"CM, CB, CDM, RB, LB",1
Borja Garcés,ST,"ST, CF, RM, CDM, CM",1
M. Musaka,CM,"CM, LB, CDM, RB, CAM",1
João Lopes,GK,"GK, CB, CAM, CDM, CF",1
C. Saldaña,LB,"LB, RB, CM, CDM, CB",1
D. van Crooij,GK,"GK, CB, CAM, CDM, CF",1
Han Yong Su,CB,"CB, CDM, LB, CAM, CF",1
M. Derrien,CB,"CB, LB, CAM, CDM, CF",1
N. Ajose,ST,"ST, CAM, LM, LW, RM",1
M. Ortíz,RW,"RW, RM, CM, CAM, LM",1
M. Gustafsson,CM,"CM, RM, LM, CAM, CDM",1
Kwak Kwang Sun,CB,"CB, CDM, CM, RB, LB",1
O. Kittner,CB,"CB, CDM, CM, CAM, CF",1
T. Inukai,CB,"CB, CAM, CDM, CF, CM",1
F. Román,RB,"RB, CB, LB, CDM, CAM",1
M. Bundu,ST,"ST, RM, LM, CAM, LW",1
R. Swete,GK,"GK, CB, CAM, CDM, CF",1
J. White,CB,"CB, CDM, CM, RB, LB",1
D. Collins,CB,"CB, CDM, LB, CAM, CF",1
R. McDonald,CB,"CB, CDM, RB, CF, CM",1
A. Martin,CB,"CB, CDM, CAM, CF, CM",1
A. Rabillard,ST,"ST, RM, LM, LW, CAM",1
J. Jönsson,CB,"CB, CDM, LB, RB, CAM",1
Vitinho,RB,"RB, LB, CM, LM, CB",1
R. Thellufsen,LM,"LM, ST, LW, RM, CM",1
S. Macías,LB,"LB, RB, CDM, CB, CF",1
S. Wamangituka,ST,"ST, CF, LM, RM, CDM",1
J. Green,RM,"RM, RW, LM, CAM, LW",1
R. Harakawa,CM,"CM, RM, LM, CAM, LB",0
J. Pérez,RB,"RB, LB, CB, CDM, CF",1
L. Santelices,GK,"GK, CB, LM, CDM, CF",1
V. Bondarenko,CB,"CB, CDM, LB, RB, CM",1
K. Roberts,CB,"CB, LB, CDM, CM, CAM",1
A. Peña,CB,"CB, CDM, RB, CF, CM",1
R. Sandberg,GK,"GK, CB, CAM, CDM, CF",1
J. Palacios,CB,"CB, CAM, CDM, CF, CM",1
T. Sugeno,GK,"GK, CB, CAM, CDM, CF",1
C. Winchester,CM,"CM, LB, CAM, CDM, LM",1
Luan,CB,"CB, CAM, CDM, CF, CM",1
Y. Ito,RB,"RB, LB, CM, LWB, CB",1
Kako Sanz,CDM,"CDM, CM, CB, RB, LB",1
A. Poúngouras,CB,"CB, CDM, RB, CF, CM",1
Juan Ibiza,CB,"CB, CDM, RB, CF, CM",1
Echu,RM,"RM, CAM, LM, LW, RW",0
N. Thaller,CB,"CB, CAM, CDM, CF, CM",1
D. Kiki,LB,"LB, RB, CB, RWB, CM",1
B. Richards-Everton,CB,"CB, LB, RB, CDM, CF",1
M. Fontaine,CB,"CB, LB, CDM, RB, CAM",1
D. Lajud,ST,"ST, LM, CM, LW, RM",1
S. Hernández,GK,"GK, CB, CAM, CDM, CF",1
A. Ferdinand,CB,"CB, CDM, RB, CF, CM",1
T. Sandoval,ST,"ST, RW, CAM, CF, CM",1
Park Tae Hong,CB,"CB, LB, RB, CDM, CF",1
A. Blomqvist,CB,"CB, CM, CAM, RB, CDM",1
A. Ibayashi,CB,"CB, RB, LB, CDM, CAM",1
A. Bongiovanni,CAM,"CAM, CM, RM, LM, RW",0
A. Davies,CB,"CB, CAM, CDM, CF, CM",1
J. Hayes,CM,"CM, CDM, LB, CB, RWB",1
H. Canbazoğlu,GK,"GK, CB, CAM, CDM, CF",1
Pablo,LB,"LB, RB, CDM, RM, CB",1
A. Williams,ST,"ST, LW, RW, CF, CAM",1
Dillson Teixeiro,ST,"ST, CAM, CM, RB, RW",1
M. Boben,CB,"CB, RB, CAM, CF, CM",1
J. Knight,CB,"CB, LB, CM, CDM, CAM",1
Yang Xu,ST,"ST, CM, CAM, RM, CF",1
H. Mahou,RW,"RW, RM, LW, LM, ST",1
D. Stec,RB,"RB, LB, LM, CM, CDM",1
F. Jensen,CM,"CM, LB, CDM, RB, CB",1
M. Karlsen,ST,"ST, CM, CAM, CDM, CF",1
E. Banda,CAM,"CAM, RM, CM, LM, RW",1
C. Bell,GK,"GK, CB, CAM, CDM, CF",1
Kim Jungya,CB,"CB, RB, CAM, CF, CM",1
S. Gregersen,CB,"CB, LB, RB, RM, CF",1
J. Wright,CB,"CB, LB, CAM, CDM, CF",1
J. Proctor,ST,"ST, LM, CAM, CF, CM",1
Roberto López,CAM,"CAM, RM, LW, LM, RW",1
I. Savane,LB,"RB, LB, LM, CB, LWB",0
C. Johnson,RB,"RB, LB, CM, CDM, CB",1
K. Wojtkowski,CAM,"CAM, LM, RM, CM, LW",0
M. Huber,CB,"CB, CAM, CDM, CF, CM",1
L. Norris,ST,"ST, CB, CAM, CF, CM",1
H. Lingani,CB,"CB, CDM, LB, GK, RB",1
H. Wright,ST,"ST, CB, CAM, CF, CM",1
J. Galeano,CM,"CM, CDM, LB, CB, RB",0
L. Vaca,ST,"ST, RW, CAM, CF, RM",1
J. Bartkowski,RB,"RB, LB, CDM, CB, CM",1
Du Wei,CB,"CB, CM, CAM, CDM, CF",1
J. Reeves,CM,"CM, LB, CDM, RM, RB",1
D. Bertrand,LM,"LM, RM, RW, LW, ST",1
G. Scamacca,ST,"ST, CB, CAM, CF, CM",1
K. Dennis,ST,"ST, LM, CF, RM, CDM",1
Jesús Jiménez,LM,"ST, RM, CAM, LM, LW",0
T. Müller,GK,"GK, CB, CAM, CDM, CF",1
J. Gundersen,CB,"CB, RB, CAM, CF, CM",1
Edu Frias,GK,"GK, CB, CAM, CDM, CF",1
A. Madu,CB,"CB, CDM, CAM, CF, CM",1
G. Modica,CB,"CB, LB, RB, CDM, CF",1
T. Brown,CB,"CB, CAM, CDM, CF, CM",1
Hong Jung Nam,GK,"GK, CB, CAM, CDM, CF",1
Dani Suárez,CB,"CB, CDM, CAM, CF, CM",1
M. Qasem,LB,"LB, RB, CM, LWB, LM",1
Alex Rodríguez,CM,"CM, CDM, CB, RM, CAM",1
N. Belvito,ST,"ST, CB, CAM, CF, CM",1
A. Adam,ST,"ST, LM, CAM, CF, CM",1
P. Bürger,ST,"ST, CAM, CB, CF, CM",1
C. Psyché,CB,"CB, LB, CAM, CDM, CF",1
M. Greve,CB,"CB, ST, CAM, CF, CM",1
Jaume,CM,"CM, CDM, LB, CB, CAM",1
J. Mostasilla,CB,"CB, CAM, CDM, CF, CM",1
M. Musa,LB,"LB, RB, CM, CB, CDM",1
K. Mensah,ST,"ST, LM, RM, LW, CAM",1
B. Murphy,GK,"GK, CB, CAM, CDM, CF",1
P. Perina,GK,"GK, CB, CAM, CDM, CF",1
J. Lillis,GK,"GK, CB, CAM, CDM, CF",1
R. Quiñonez,GK,"GK, CB, CAM, CDM, CF",1
F. Buntić,GK,"GK, CB, CAM, CDM, CF",1
C. Burgess,CB,"CB, RB, CAM, CF, CM",1
F. Hurtado,GK,"GK, CB, CAM, CDM, CF",1
O. Norburn,CM,"CM, CAM, LM, LW, RM",1
J. Schwadorf,LM,"LM, CAM, ST, RM, LW",1
Raúl Llorente,LB,"RB, LB, CB, RM, CDM",0
G. Prósperi,RB,"RB, LB, CDM, CB, CM",1
Jesiel,CB,"CB, CAM, CDM, CF, CM",1
Ricardo Rodrigues,ST,"ST, RM, CAM, LW, LM",1
B. Vécsei,CM,"CM, CAM, ST, RM, LM",0
C. Aasbak,LB,"LB, CM, RB, CB, CDM",0
M. Birighitti,GK,"GK, CB, CAM, CDM, CF",1
Maguinho,RB,"RB, LB, RM, CM, CDM",1
W. Geubbels,ST,"ST, LW, RW, LM, CAM",1
J. Nilsson,CB,"CB, CDM, CAM, CF, CM",1
E. Doyle,ST,"ST, RM, LM, LW, RW",1
C. Cuesta,CB,"CB, CDM, LB, RB, CM",1
L. Palmiero,CM,"CM, LB, RB, CDM, CAM",1
